depth,sender,receiver,amount,symbol,sender_type,sender_annotation,receiver_type,receiver_annotation,token,token_type,token_id
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x568717cd90132ca4e2b3c77fb70d8afc6e400ac1,1.3700681,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xa629a2c4de51a73f0f6b484f6f5efeae9b42d984,1.02021,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x47bef9fc7cbb7feb51ce8d64c263705e623bdb82,0.86550118,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x0cbb31cf74327abc8addf42fa0153df3f72c099d,0.68962309,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x1fb0d490896aa922c4cca20f41d08531caafd133,0.6894734,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xaf8cdfcd21d2e8eb798194f1b77f3be7048cf02c,0.683636,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xd65069ef13118fbeb0d2ca7b48c5f67cbf3a00ec,0.660231,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x21d667e5947f7a8c71ecb4b26ef3b1839f9ccd9f,0.65075545,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xe39821033f5ca12bddf492c09ac61377d93a2844,0.64970133,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x18e93c0d27cfc7f5af5510cf66999cef3fc7638e,0.64065713,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xe2e9b1a6312193a9013b916ca0391358ad156611,0.63715238,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0x6efa187d0f53da902b512f3f7d141adb9f865432,0.630189,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
1,0xf1b5dfc727a516ca9ee45a9b07064d96bb894b13,0xbc6744fd8fe55e01cd8eb3323eef09ce5e26dff8,0.62275914,ETH,Wallet,"",Wallet,"",0x0000000000000000000000000000000000000000,"",0
